1945,,ניו יארק,זאמלביכער. 6,"אפאטאשו, י - ה. לייוויק (רעד)"
1948,,ניו יארק,זאמלביכער. 7,"אפאטאשו, י - ה. לייוויק (רעד)"
1952,,ניו יארק,זאמלביכער. 8,"אפאטאשו, י - ה. לייוויק (רעד)"
1926,ב. קלעצקין פארלאג,ווילנע,1863. צווייטער טייל פון אין פוילישע וועלדער,"אפאטאשו, יוסף"
1955,די גאלדענע פאווע,פאריז,א טאג אין רעגענסבורג.,"אפאטאשו, יוסף"
1965,ייווא,בוענאס איירעס,אין פוילישע וועלדער,"אפאטאשו, יוסף"
1938,,ניו יארק,מענטשן און חיות,"אפאטאשו, יוסף"
1937,,ניו יארק,צווישן ימ'ען און לענדער,"אפאטאשו, יוסף"
,היברו פאבלישינג קא,ניו יארק,הומאריסטישע שריפטען,"אפאטהעקער, דוד"
1951,,ניו יארק,געזאמלטע שריפטן,"אפאטשינסקי, פרץ"
1954,יידיש בוך,ווארשע,רעפארטאזשן פון ווארשעווער געטא,"אפאטשינסקי, פרץ"
1940,פריינט,ניו יארק,מארגנרויט און דעמערונג. לידער,"אפאלאוו, דוד - ד. בורליוק"
1953,,ניו יארק,די ווייס-בלויע פאן,"אפטייקער, יעקב"
1972,המנורה,תל אביב,"די עלטסטע דריי תנ""ך איבערזעצונגען","אפטייקער, יעקב"
1946,אקוף,ניו יארק,אין דער רוימישער געטא.,"אפטער, ש"
1942,פאלקסביבליאטעק,ניו יארק,דער בונט. און אנדערע דערציילונגען,"אפטער, ש"
1956,ציקא,ניו יארק,אין א נייער וועלט: היסטארישער ראמאן,"אפטער, שמשון"
1964,ציקא,ניו יארק,די פרייסינגערס: ראמאן,"אפטער, שמשון"
1936,פארלאג קאמף,טאראנטא,צווישן שטעט: דערציילונגען,"אפטער, שמשון"
1951,,לאס אנדזשעלעס,אומרואיקע יארן. לידער און פאעמעס,"אפרת, יצחק"
1947,,בוענאס איירעס,היימלאזע יידן,"אפרת, ישראל"
1928,קולטור ליגע,ווארשע,די געשיכטע פון יידישן פאלק,"אפרתי, ח"
1918,סטאר היברו בוק קא.,ניו יארק,יידישע געשיכטע פאר שול און הויז.,"אפרתי, ח"
1965,מפרץ,תל אביב,די יידן פון די ליימענע הייזלעך,"אפרתי, משה"
1927,,ניו יארק,לידער,"אקון, זלמן"
1987,,תל אביב,א ליד ווערט געבוירן,"אקנער, אברהם"
1961,,ניו יארק,לידער,"אקסעלראד, זעליק"
